scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,Violin,page14,14,bar83,83,2,4,90,4,230,158420,667,159087,476,2,478,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,476
Vexilla,Violin,page14,14,bar84,84,2,4,90,4,231,159087,667,159754,478,2,480,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,478
Vexilla,Violin,page14,14,bar84,84,2,4,90,4,232,159754,667,160421,480,2,482,101,138,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,480
Vexilla,Violin,page14,14,bar85,85,2,4,90,4,233,160421,667,161088,482,2,484,138,170,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,482
Vexilla,Violin,page14,14,bar85,85,2,4,90,4,234,161088,667,161755,484,2,486,170,207,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,484
Vexilla,Violin,page14,14,bar86,86,2,4,90,4,235,161755,667,162422,486,2,488,207,239,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,486
Vexilla,Violin,page14,14,bar86,86,2,4,90,4,236,162422,667,163089,488,2,490,239,276,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,488
Vexilla,Violin,page14,14,bar87,87,2,4,90,4,237,163089,667,163756,490,2,492,276,308,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,490
Vexilla,Violin,page14,14,bar87,87,2,4,90,4,238,163756,667,164423,492,2,494,308,345,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,492
Vexilla,Violin,page14,14,bar88,88,2,4,90,4,239,164423,667,165090,494,2,496,345,377,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,494
Vexilla,Violin,page14,14,bar88,88,2,4,90,4,240,165090,667,165757,496,2,498,377,414,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,496
Vexilla,Violin,page14,14,bar89,89,2,4,90,4,241,165757,667,166424,498,2,500,414,446,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,498
Vexilla,Violin,page14,14,bar89,89,2,4,90,4,242,166424,667,167091,500,2,502,446,483,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,500
Vexilla,Violin,page14,14,bar90,90,2,4,90,4,243,167091,667,167758,502,2,504,483,515,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,502
Vexilla,Violin,page14,14,bar90,90,2,4,90,4,244,167758,667,168425,504,2,506,515,552,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,504
Vexilla,Violin,page14,14,bar91,91,2,4,90,4,245,168425,667,169092,506,2,508,552,584,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,506
Vexilla,Violin,page14,14,bar91,91,2,4,90,4,246,169092,667,169759,508,2,510,584,621,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,508
Vexilla,Violin,page14,14,bar92,92,2,4,90,4,247,169759,667,170426,510,2,512,621,653,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,510
Vexilla,Violin,page14,14,bar92,92,2,4,90,4,248,170426,667,171093,512,2,514,653,685,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Violin_page14,512
