scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,resource,unitBeatNo
Vexilla,Clarinet,page5,5,bar22,22,4,4,90,4,73,48691,667,49358,147,2,149,31,68,100,100,1,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,147
Vexilla,Clarinet,page5,5,bar23,23,4,4,90,4,74,49358,667,50025,149,2,151,68,100,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,149
Vexilla,Clarinet,page5,5,bar23,23,4,4,90,4,75,50025,667,50692,151,2,153,100,132,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,151
Vexilla,Clarinet,page5,5,bar23,23,4,4,90,4,76,50692,667,51359,153,2,155,132,164,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,153
Vexilla,Clarinet,page5,5,bar23,23,4,4,90,4,77,51359,667,52026,155,2,157,164,201,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,155
Vexilla,Clarinet,page5,5,bar24,24,4,4,90,4,78,52026,667,52693,157,2,159,201,233,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,157
Vexilla,Clarinet,page5,5,bar24,24,4,4,90,4,79,52693,667,53360,159,2,161,233,265,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,159
Vexilla,Clarinet,page5,5,bar24,24,4,4,90,4,80,53360,667,54027,161,2,163,265,297,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,161
Vexilla,Clarinet,page5,5,bar24,24,4,4,90,4,81,54027,667,54694,163,2,165,297,334,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,163
Vexilla,Clarinet,page5,5,bar25,25,4,4,90,4,82,54694,667,55361,165,2,167,334,366,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,165
Vexilla,Clarinet,page5,5,bar25,25,4,4,90,4,83,55361,667,56028,167,2,169,366,398,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,167
Vexilla,Clarinet,page5,5,bar25,25,4,4,90,4,84,56028,667,56695,169,2,171,398,430,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,169
Vexilla,Clarinet,page5,5,bar25,25,4,4,90,4,85,56695,667,57362,171,2,173,430,467,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,171
Vexilla,Clarinet,page5,5,bar26,26,4,4,90,4,86,57362,667,58029,173,2,175,467,499,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,173
Vexilla,Clarinet,page5,5,bar26,26,4,4,90,4,87,58029,667,58696,175,2,177,499,531,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,175
Vexilla,Clarinet,page5,5,bar26,26,4,4,90,4,88,58696,667,59363,177,2,179,531,563,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,177
Vexilla,Clarinet,page5,5,bar26,26,4,4,90,4,89,59363,667,60030,179,2,181,563,600,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,179
Vexilla,Clarinet,page5,5,bar27,27,4,4,90,4,90,60030,667,60697,181,2,183,600,632,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,181
Vexilla,Clarinet,page5,5,bar27,27,4,4,90,4,91,60697,667,61364,183,2,185,632,664,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,183
Vexilla,Clarinet,page5,5,bar27,27,4,4,90,4,92,61364,667,62031,185,2,187,664,696,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,185
Vexilla,Clarinet,page5,5,bar27,27,4,4,90,4,93,62031,667,62698,187,2,189,696,728,100,100,0,/Volumes/DataDrive/Music/phd/scores/flags/export/final/rsrc/Vexilla_Clarinet_page5,187
