scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Flute,page9,9,bar35,35,4,4,80,4,160,104850,750,105600,321,2,323,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,321
Ukodus,Flute,page9,9,bar36,36,4,4,80,4,161,105600,750,106350,323,2,325,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,323
Ukodus,Flute,page9,9,bar36,36,4,4,80,4,162,106350,750,107100,325,2,327,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,325
Ukodus,Flute,page9,9,bar36,36,4,4,80,4,163,107100,750,107850,327,2,329,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,327
Ukodus,Flute,page9,9,bar36,36,4,4,80,4,164,107850,750,108600,329,2,331,165,202,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,329
Ukodus,Flute,page9,9,bar37,37,4,4,80,4,165,108600,750,109350,331,2,333,202,234,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,331
Ukodus,Flute,page9,9,bar37,37,4,4,80,4,166,109350,750,110100,333,2,335,234,266,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,333
Ukodus,Flute,page9,9,bar37,37,4,4,80,4,167,110100,750,110850,335,2,337,266,298,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,335
Ukodus,Flute,page9,9,bar37,37,4,4,80,4,168,110850,750,111600,337,2,339,298,335,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,337
Ukodus,Flute,page9,9,bar38,38,4,4,80,4,169,111600,750,112350,339,2,341,335,367,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,339
Ukodus,Flute,page9,9,bar38,38,4,4,80,4,170,112350,750,113100,341,2,343,367,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,341
Ukodus,Flute,page9,9,bar38,38,4,4,80,4,171,113100,750,113850,343,2,345,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,343
Ukodus,Flute,page9,9,bar38,38,4,4,80,4,172,113850,750,114600,345,2,347,431,468,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,345
Ukodus,Flute,page9,9,bar39,39,4,4,80,4,173,114600,750,115350,347,2,349,468,500,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,347
Ukodus,Flute,page9,9,bar39,39,4,4,80,4,174,115350,750,116100,349,2,351,500,532,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,349
Ukodus,Flute,page9,9,bar39,39,4,4,80,4,175,116100,750,116850,351,2,353,532,564,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,351
Ukodus,Flute,page9,9,bar39,39,4,4,80,4,176,116850,750,117600,353,2,355,564,601,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,353
Ukodus,Flute,page9,9,bar40,40,4,4,80,4,177,117600,750,118350,355,2,357,601,633,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,355
Ukodus,Flute,page9,9,bar40,40,4,4,80,4,178,118350,750,119100,357,2,359,633,665,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,357
Ukodus,Flute,page9,9,bar40,40,4,4,80,4,179,119100,750,119850,359,2,361,665,697,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,359
Ukodus,Flute,page9,9,bar40,40,4,4,80,4,180,119850,750,120600,361,2,363,697,729,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Flute_page9,361
