scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Clarinet,page1,1,bar0,0,5,4,100,4,0,0,600,600,1,2,3,32,68,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,1
Ukodus,Clarinet,page1,1,bar1,1,5,4,100,4,1,600,600,1200,3,2,5,68,100,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,3
Ukodus,Clarinet,page1,1,bar1,1,5,4,100,4,2,1200,600,1800,5,2,7,100,132,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,5
Ukodus,Clarinet,page1,1,bar1,1,5,4,100,4,3,1800,600,2400,7,2,9,132,164,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,7
Ukodus,Clarinet,page1,1,bar1,1,5,4,100,4,4,2400,600,3000,9,2,11,164,196,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,9
Ukodus,Clarinet,page1,1,bar1,1,5,4,100,4,5,3000,600,3600,11,2,13,196,233,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,11
Ukodus,Clarinet,page1,1,bar2,2,5,4,100,4,6,3600,600,4200,13,2,15,233,265,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,13
Ukodus,Clarinet,page1,1,bar2,2,5,4,100,4,7,4200,600,4800,15,2,17,265,297,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,15
Ukodus,Clarinet,page1,1,bar2,2,5,4,100,4,8,4800,600,5400,17,2,19,297,329,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,17
Ukodus,Clarinet,page1,1,bar2,2,5,4,100,4,9,5400,600,6000,19,2,21,329,361,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,19
Ukodus,Clarinet,page1,1,bar2,2,5,4,100,4,10,6000,600,6600,21,2,23,361,398,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,21
Ukodus,Clarinet,page1,1,bar3,3,5,4,100,4,11,6600,600,7200,23,2,25,398,430,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,23
Ukodus,Clarinet,page1,1,bar3,3,5,4,100,4,12,7200,600,7800,25,2,27,430,462,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,25
Ukodus,Clarinet,page1,1,bar3,3,5,4,100,4,13,7800,600,8400,27,2,29,462,494,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,27
Ukodus,Clarinet,page1,1,bar3,3,5,4,100,4,14,8400,600,9000,29,2,31,494,526,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,29
Ukodus,Clarinet,page1,1,bar3,3,5,4,100,4,15,9000,600,9600,31,2,33,526,563,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,31
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,16,9600,600,10200,33,2,35,563,595,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,33
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,17,10200,600,10800,35,2,37,595,627,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,35
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,18,10800,600,11400,37,2,39,627,659,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,37
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,19,11400,600,12000,39,2,41,659,691,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,39
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,20,12000,600,12600,41,2,43,691,723,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,41
