scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,FullScore,page1,1,bar0,0,5,4,100,4,0,0,600,600,1,2,3,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,1
Ukodus,FullScore,page1,1,bar1,1,5,4,100,4,1,600,600,1200,3,2,5,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,3
Ukodus,FullScore,page1,1,bar1,1,5,4,100,4,2,1200,600,1800,5,2,7,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,5
Ukodus,FullScore,page1,1,bar1,1,5,4,100,4,3,1800,600,2400,7,2,9,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,7
Ukodus,FullScore,page1,1,bar1,1,5,4,100,4,4,2400,600,3000,9,2,11,165,197,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,9
Ukodus,FullScore,page1,1,bar1,1,5,4,100,4,5,3000,600,3600,11,2,13,197,234,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,11
Ukodus,FullScore,page1,1,bar2,2,5,4,100,4,6,3600,600,4200,13,2,15,234,266,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,13
Ukodus,FullScore,page1,1,bar2,2,5,4,100,4,7,4200,600,4800,15,2,17,266,298,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,15
Ukodus,FullScore,page1,1,bar2,2,5,4,100,4,8,4800,600,5400,17,2,19,298,330,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,17
Ukodus,FullScore,page1,1,bar2,2,5,4,100,4,9,5400,600,6000,19,2,21,330,362,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,19
Ukodus,FullScore,page1,1,bar2,2,5,4,100,4,10,6000,600,6600,21,2,23,362,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,21
Ukodus,FullScore,page1,1,bar3,3,5,4,100,4,11,6600,600,7200,23,2,25,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,23
Ukodus,FullScore,page1,1,bar3,3,5,4,100,4,12,7200,600,7800,25,2,27,431,463,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,25
Ukodus,FullScore,page1,1,bar3,3,5,4,100,4,13,7800,600,8400,27,2,29,463,495,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,27
Ukodus,FullScore,page1,1,bar3,3,5,4,100,4,14,8400,600,9000,29,2,31,495,527,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,29
Ukodus,FullScore,page1,1,bar3,3,5,4,100,4,15,9000,600,9600,31,2,33,527,564,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,31
Ukodus,FullScore,page1,1,bar4,4,5,4,100,4,16,9600,600,10200,33,2,35,564,596,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,33
Ukodus,FullScore,page1,1,bar4,4,5,4,100,4,17,10200,600,10800,35,2,37,596,628,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,35
Ukodus,FullScore,page1,1,bar4,4,5,4,100,4,18,10800,600,11400,37,2,39,628,660,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,37
Ukodus,FullScore,page1,1,bar4,4,5,4,100,4,19,11400,600,12000,39,2,41,660,692,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,39
Ukodus,FullScore,page1,1,bar4,4,5,4,100,4,20,12000,600,12600,41,2,43,692,724,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page1,41
