scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Clarinet,page13,13,bar58,58,3,4,120,4,234,147100,500,147600,469,2,471,32,68,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,469
Ukodus,Clarinet,page13,13,bar59,59,3,4,120,4,235,147600,500,148100,471,2,473,68,100,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,471
Ukodus,Clarinet,page13,13,bar59,59,3,4,120,4,236,148100,500,148600,473,2,475,100,132,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,473
Ukodus,Clarinet,page13,13,bar59,59,3,4,120,4,237,148600,500,149100,475,2,477,132,169,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,475
Ukodus,Clarinet,page13,13,bar60,60,3,4,120,4,238,149100,500,149600,477,2,479,169,201,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,477
Ukodus,Clarinet,page13,13,bar60,60,3,4,120,4,239,149600,500,150100,479,2,481,201,233,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,479
Ukodus,Clarinet,page13,13,bar60,60,3,4,120,4,240,150100,500,150600,481,2,483,233,270,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,481
Ukodus,Clarinet,page13,13,bar61,61,3,4,120,4,241,150600,500,151100,483,2,485,270,302,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,483
Ukodus,Clarinet,page13,13,bar61,61,3,4,120,4,242,151100,500,151600,485,2,487,302,334,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,485
Ukodus,Clarinet,page13,13,bar61,61,3,4,120,4,243,151600,500,152100,487,2,489,334,371,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,487
Ukodus,Clarinet,page13,13,bar62,62,3,4,120,4,244,152100,500,152600,489,2,491,371,403,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,489
Ukodus,Clarinet,page13,13,bar62,62,3,4,120,4,245,152600,500,153100,491,2,493,403,435,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,491
Ukodus,Clarinet,page13,13,bar62,62,3,4,120,4,246,153100,500,153600,493,2,495,435,472,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,493
Ukodus,Clarinet,page13,13,bar63,63,3,4,120,4,247,153600,500,154100,495,2,497,472,504,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,495
Ukodus,Clarinet,page13,13,bar63,63,3,4,120,4,248,154100,500,154600,497,2,499,504,536,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,497
Ukodus,Clarinet,page13,13,bar63,63,3,4,120,4,249,154600,500,155100,499,2,501,536,573,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,499
Ukodus,Clarinet,page13,13,bar64,64,3,4,120,4,250,155100,500,155600,501,2,503,573,605,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,501
Ukodus,Clarinet,page13,13,bar64,64,3,4,120,4,251,155600,500,156100,503,2,505,605,637,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,503
Ukodus,Clarinet,page13,13,bar64,64,3,4,120,4,252,156100,500,156600,505,2,507,637,669,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page13,505
